uuid,professional_persona,sports_persona,arts_persona,travel_persona,culinary_persona,persona,cultural_background,skills_and_expertise,hobbies_and_interests,career_goals_and_ambitions,sex,age,marital_status,education_level,occupation,industry,planning_area,country,interests_seed,skills_seed,skills_and_expertise_list,hobbies_and_interests_list
u-00185,professional 5,sports 1,arts 0,travel 2,culinary 5,Persona 185,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,45,married,bachelor,researcher,tech,Bedok,Singapore,['hobby1hobby2hobby3'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby1hobby2hobby3']
u-00186,professional 6,sports 2,arts 1,travel 0,culinary 0,Persona 186,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,46,single,bachelor,engineer,retail,Tampines,Singapore,['hobby2hobby3hobby4'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby2hobby3hobby4']
u-00187,professional 7,sports 3,arts 2,travel 1,culinary 1,Persona 187,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,47,married,bachelor,teacher,media,Woodlands,Singapore,['hobby3hobby4hobby5'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby3hobby4hobby5']
u-00188,professional 8,sports 0,arts 3,travel 2,culinary 2,Persona 188,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,48,single,bachelor,designer,education,Jurong West,Singapore,['hobby4hobby5hobby6'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby4hobby5hobby6']
u-00189,professional 9,sports 1,arts 4,travel 0,culinary 3,Persona 189,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,49,married,bachelor,analyst,finance,Hougang,Singapore,['hobby5hobby6hobby7'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby5hobby6hobby7']
u-00190,professional 0,sports 2,arts 0,travel 1,culinary 4,Persona 190,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,50,single,bachelor,manager,tech,Bedok,Singapore,['hobby6hobby7hobby0'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby6hobby7hobby0']
u-00191,professional 1,sports 3,arts 1,travel 2,culinary 5,Persona 191,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,51,married,bachelor,researcher,retail,Tampines,Singapore,['hobby7hobby0hobby1'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby7hobby0hobby1']
u-00192,professional 2,sports 0,arts 2,travel 0,culinary 0,Persona 192,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,52,single,bachelor,engineer,media,Woodlands,Singapore,['hobby0hobby1hobby2'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby0hobby1hobby2']
u-00193,professional 3,sports 1,arts 3,travel 1,culinary 1,Persona 193,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,53,married,bachelor,teacher,education,Jurong West,Singapore,['hobby1hobby2hobby3'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby1hobby2hobby3']
u-00194,professional 4,sports 2,arts 4,travel 2,culinary 2,Persona 194,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,54,single,bachelor,designer,finance,Hougang,Singapore,['hobby2hobby3hobby4'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby2hobby3hobby4']
u-00195,professional 5,sports 3,arts 0,travel 0,culinary 3,Persona 195,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,55,married,bachelor,analyst,tech,Bedok,Singapore,['hobby3hobby4hobby5'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby3hobby4hobby5']
u-00196,professional 6,sports 0,arts 1,travel 1,culinary 4,Persona 196,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,56,single,bachelor,manager,retail,Tampines,Singapore,['hobby4hobby5hobby6'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby4hobby5hobby6']
u-00197,professional 7,sports 1,arts 2,travel 2,culinary 5,Persona 197,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,57,married,bachelor,researcher,media,Woodlands,Singapore,['hobby5hobby6hobby7'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby5hobby6hobby7']
u-00198,professional 8,sports 2,arts 3,travel 0,culinary 0,Persona 198,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,58,single,bachelor,engineer,education,Jurong West,Singapore,['hobby6hobby7hobby0'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby6hobby7hobby0']
u-00199,professional 9,sports 3,arts 4,travel 1,culinary 1,Persona 199,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,59,married,bachelor,teacher,finance,Hougang,Singapore,['hobby7hobby0hobby1'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby7hobby0hobby1']
u-00200,professional 0,sports 0,arts 0,travel 2,culinary 2,Persona 200,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,20,single,bachelor,designer,tech,Bedok,Singapore,['hobby0hobby1hobby2'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby0hobby1hobby2']
u-00201,professional 1,sports 1,arts 1,travel 0,culinary 3,Persona 201,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,21,married,bachelor,analyst,retail,Tampines,Singapore,['hobby1hobby2hobby3'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby1hobby2hobby3']
u-00202,professional 2,sports 2,arts 2,travel 1,culinary 4,Persona 202,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,22,single,bachelor,manager,media,Woodlands,Singapore,['hobby2hobby3hobby4'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby2hobby3hobby4']
u-00203,professional 3,sports 3,arts 3,travel 2,culinary 5,Persona 203,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,23,married,bachelor,researcher,education,Jurong West,Singapore,['hobby3hobby4hobby5'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby3hobby4hobby5']
u-00204,professional 4,sports 0,arts 4,travel 0,culinary 0,Persona 204,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,24,single,bachelor,engineer,finance,Hougang,Singapore,['hobby4hobby5hobby6'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby4hobby5hobby6']
u-00205,professional 5,sports 1,arts 0,travel 1,culinary 1,Persona 205,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,25,married,bachelor,teacher,tech,Bedok,Singapore,['hobby5hobby6hobby7'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby5hobby6hobby7']
u-00206,professional 6,sports 2,arts 1,travel 2,culinary 2,Persona 206,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,26,single,bachelor,designer,retail,Tampines,Singapore,['hobby6hobby7hobby0'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby6hobby7hobby0']
u-00207,professional 7,sports 3,arts 2,travel 0,culinary 3,Persona 207,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,27,married,bachelor,analyst,media,Woodlands,Singapore,['hobby7hobby0hobby1'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby7hobby0hobby1']
u-00208,professional 8,sports 0,arts 3,travel 1,culinary 4,Persona 208,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,28,single,bachelor,manager,education,Jurong West,Singapore,['hobby0hobby1hobby2'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby0hobby1hobby2']
u-00209,professional 9,sports 1,arts 4,travel 2,culinary 5,Persona 209,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,29,married,bachelor,researcher,finance,Hougang,Singapore,['hobby1hobby2hobby3'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby1hobby2hobby3']
u-00210,professional 0,sports 2,arts 0,travel 0,culinary 0,Persona 210,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,30,single,bachelor,engineer,tech,Bedok,Singapore,['hobby2hobby3hobby4'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby2hobby3hobby4']
u-00211,professional 1,sports 3,arts 1,travel 1,culinary 1,Persona 211,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,31,married,bachelor,teacher,retail,Tampines,Singapore,['hobby3hobby4hobby5'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby3hobby4hobby5']
u-00212,professional 2,sports 0,arts 2,travel 2,culinary 2,Persona 212,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,32,single,bachelor,designer,media,Woodlands,Singapore,['hobby4hobby5hobby6'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby4hobby5hobby6']
u-00213,professional 3,sports 1,arts 3,travel 0,culinary 3,Persona 213,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,33,married,bachelor,analyst,education,Jurong West,Singapore,['hobby5hobby6hobby7'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby5hobby6hobby7']
u-00214,professional 4,sports 2,arts 4,travel 1,culinary 4,Persona 214,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,34,single,bachelor,manager,finance,Hougang,Singapore,['hobby6hobby7hobby0'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby6hobby7hobby0']
u-00215,professional 5,sports 3,arts 0,travel 2,culinary 5,Persona 215,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,35,married,bachelor,researcher,tech,Bedok,Singapore,['hobby7hobby0hobby1'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby7hobby0hobby1']
u-00216,professional 6,sports 0,arts 1,travel 0,culinary 0,Persona 216,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,36,single,bachelor,engineer,retail,Tampines,Singapore,['hobby0hobby1hobby2'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby0hobby1hobby2']
u-00217,professional 7,sports 1,arts 2,travel 1,culinary 1,Persona 217,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,37,married,bachelor,teacher,media,Woodlands,Singapore,['hobby1hobby2hobby3'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby1hobby2hobby3']
u-00218,professional 8,sports 2,arts 3,travel 2,culinary 2,Persona 218,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,38,single,bachelor,designer,education,Jurong West,Singapore,['hobby2hobby3hobby4'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby2hobby3hobby4']
u-00219,professional 9,sports 3,arts 4,travel 0,culinary 3,Persona 219,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,39,married,bachelor,analyst,finance,Hougang,Singapore,['hobby3hobby4hobby5'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby3hobby4hobby5']
u-00220,professional 0,sports 0,arts 0,travel 1,culinary 4,Persona 220,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,40,single,bachelor,manager,tech,Bedok,Singapore,['hobby4hobby5hobby6'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby4hobby5hobby6']
u-00221,professional 1,sports 1,arts 1,travel 2,culinary 5,Persona 221,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,41,married,bachelor,researcher,retail,Tampines,Singapore,['hobby5hobby6hobby7'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby5hobby6hobby7']
u-00222,professional 2,sports 2,arts 2,travel 0,culinary 0,Persona 222,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,42,single,bachelor,engineer,media,Woodlands,Singapore,['hobby6hobby7hobby0'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby6hobby7hobby0']
u-00223,professional 3,sports 3,arts 3,travel 1,culinary 1,Persona 223,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,43,married,bachelor,teacher,education,Jurong West,Singapore,['hobby7hobby0hobby1'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby7hobby0hobby1']
u-00224,professional 4,sports 0,arts 4,travel 2,culinary 2,Persona 224,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,44,single,bachelor,designer,finance,Hougang,Singapore,['hobby0hobby1hobby2'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby0hobby1hobby2']
u-00225,professional 5,sports 1,arts 0,travel 0,culinary 3,Persona 225,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,45,married,bachelor,analyst,tech,Bedok,Singapore,['hobby1hobby2hobby3'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby1hobby2hobby3']
u-00226,professional 6,sports 2,arts 1,travel 1,culinary 4,Persona 226,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,46,single,bachelor,manager,retail,Tampines,Singapore,['hobby2hobby3hobby4'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby2hobby3hobby4']
u-00227,professional 7,sports 3,arts 2,travel 2,culinary 5,Persona 227,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,47,married,bachelor,researcher,media,Woodlands,Singapore,['hobby3hobby4hobby5'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby3hobby4hobby5']
u-00228,professional 8,sports 0,arts 3,travel 0,culinary 0,Persona 228,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,48,single,bachelor,engineer,education,Jurong West,Singapore,['hobby4hobby5hobby6'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby4hobby5hobby6']
u-00229,professional 9,sports 1,arts 4,travel 1,culinary 1,Persona 229,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,49,married,bachelor,teacher,finance,Hougang,Singapore,['hobby5hobby6hobby7'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby5hobby6hobby7']
u-00230,professional 0,sports 2,arts 0,travel 2,culinary 2,Persona 230,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,50,single,bachelor,designer,tech,Bedok,Singapore,['hobby6hobby7hobby0'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby6hobby7hobby0']
u-00231,professional 1,sports 3,arts 1,travel 0,culinary 3,Persona 231,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,51,married,bachelor,analyst,retail,Tampines,Singapore,['hobby7hobby0hobby1'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby7hobby0hobby1']
u-00232,professional 2,sports 0,arts 2,travel 1,culinary 4,Persona 232,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,52,single,bachelor,manager,media,Woodlands,Singapore,['hobby0hobby1hobby2'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby0hobby1hobby2']
u-00233,professional 3,sports 1,arts 3,travel 2,culinary 5,Persona 233,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,53,married,bachelor,researcher,education,Jurong West,Singapore,['hobby1hobby2hobby3'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby1hobby2hobby3']
u-00234,professional 4,sports 2,arts 4,travel 0,culinary 0,Persona 234,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,54,single,bachelor,engineer,finance,Hougang,Singapore,['hobby2hobby3hobby4'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby2hobby3hobby4']
u-00235,professional 5,sports 3,arts 0,travel 1,culinary 1,Persona 235,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,55,married,bachelor,teacher,tech,Bedok,Singapore,['hobby3hobby4hobby5'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby3hobby4hobby5']
u-00236,professional 6,sports 0,arts 1,travel 2,culinary 2,Persona 236,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,56,single,bachelor,designer,retail,Tampines,Singapore,['hobby4hobby5hobby6'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby4hobby5hobby6']
u-00237,professional 7,sports 1,arts 2,travel 0,culinary 3,Persona 237,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,57,married,bachelor,analyst,media,Woodlands,Singapore,['hobby5hobby6hobby7'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby5hobby6hobby7']
u-00238,professional 8,sports 2,arts 3,travel 1,culinary 4,Persona 238,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,58,single,bachelor,manager,education,Jurong West,Singapore,['hobby6hobby7hobby0'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby6hobby7hobby0']
u-00239,professional 9,sports 3,arts 4,travel 2,culinary 5,Persona 239,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,59,married,bachelor,researcher,finance,Hougang,Singapore,['hobby7hobby0hobby1'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby7hobby0hobby1']
u-00240,professional 0,sports 0,arts 0,travel 0,culinary 0,Persona 240,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,20,single,bachelor,engineer,tech,Bedok,Singapore,['hobby0hobby1hobby2'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby0hobby1hobby2']
u-00241,professional 1,sports 1,arts 1,travel 1,culinary 1,Persona 241,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,21,married,bachelor,teacher,retail,Tampines,Singapore,['hobby1hobby2hobby3'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby1hobby2hobby3']
u-00242,professional 2,sports 2,arts 2,travel 2,culinary 2,Persona 242,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,22,single,bachelor,designer,media,Woodlands,Singapore,['hobby2hobby3hobby4'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby2hobby3hobby4']
u-00243,professional 3,sports 3,arts 3,travel 0,culinary 3,Persona 243,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,23,married,bachelor,analyst,education,Jurong West,Singapore,['hobby3hobby4hobby5'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby3hobby4hobby5']
u-00244,professional 4,sports 0,arts 4,travel 1,culinary 4,Persona 244,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,24,single,bachelor,manager,finance,Hougang,Singapore,['hobby4hobby5hobby6'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby4hobby5hobby6']
u-00245,professional 5,sports 1,arts 0,travel 2,culinary 5,Persona 245,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,25,married,bachelor,researcher,tech,Bedok,Singapore,['hobby5hobby6hobby7'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby5hobby6hobby7']
u-00246,professional 6,sports 2,arts 1,travel 0,culinary 0,Persona 246,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,26,single,bachelor,engineer,retail,Tampines,Singapore,['hobby6hobby7hobby0'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby6hobby7hobby0']
u-00247,professional 7,sports 3,arts 2,travel 1,culinary 1,Persona 247,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,27,married,bachelor,teacher,media,Woodlands,Singapore,['hobby7hobby0hobby1'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby7hobby0hobby1']
u-00248,professional 8,sports 0,arts 3,travel 2,culinary 2,Persona 248,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,28,single,bachelor,designer,education,Jurong West,Singapore,['hobby0hobby1hobby2'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby0hobby1hobby2']
u-00249,professional 9,sports 1,arts 4,travel 0,culinary 3,Persona 249,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,29,married,bachelor,analyst,finance,Hougang,Singapore,['hobby1hobby2hobby3'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby1hobby2hobby3']
u-00250,professional 0,sports 2,arts 0,travel 1,culinary 4,Persona 250,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,30,single,bachelor,manager,tech,Bedok,Singapore,['hobby2hobby3hobby4'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby2hobby3hobby4']
u-00251,professional 1,sports 3,arts 1,travel 2,culinary 5,Persona 251,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,31,married,bachelor,researcher,retail,Tampines,Singapore,['hobby3hobby4hobby5'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby3hobby4hobby5']
u-00252,professional 2,sports 0,arts 2,travel 0,culinary 0,Persona 252,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,32,single,bachelor,engineer,media,Woodlands,Singapore,['hobby4hobby5hobby6'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby4hobby5hobby6']
u-00253,professional 3,sports 1,arts 3,travel 1,culinary 1,Persona 253,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,33,married,bachelor,teacher,education,Jurong West,Singapore,['hobby5hobby6hobby7'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby5hobby6hobby7']
u-00254,professional 4,sports 2,arts 4,travel 2,culinary 2,Persona 254,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,34,single,bachelor,designer,finance,Hougang,Singapore,['hobby6hobby7hobby0'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby6hobby7hobby0']
u-00255,professional 5,sports 3,arts 0,travel 0,culinary 3,Persona 255,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,35,married,bachelor,analyst,tech,Bedok,Singapore,['hobby7hobby0hobby1'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby7hobby0hobby1']
u-00256,professional 6,sports 0,arts 1,travel 1,culinary 4,Persona 256,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,36,single,bachelor,manager,retail,Tampines,Singapore,['hobby0hobby1hobby2'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby0hobby1hobby2']
u-00257,professional 7,sports 1,arts 2,travel 2,culinary 5,Persona 257,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,37,married,bachelor,researcher,media,Woodlands,Singapore,['hobby1hobby2hobby3'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby1hobby2hobby3']
u-00258,professional 8,sports 2,arts 3,travel 0,culinary 0,Persona 258,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,38,single,bachelor,engineer,education,Jurong West,Singapore,['hobby2hobby3hobby4'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby2hobby3hobby4']
u-00259,professional 9,sports 3,arts 4,travel 1,culinary 1,Persona 259,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,39,married,bachelor,teacher,finance,Hougang,Singapore,['hobby3hobby4hobby5'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby3hobby4hobby5']
u-00260,professional 0,sports 0,arts 0,travel 2,culinary 2,Persona 260,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,40,single,bachelor,designer,tech,Bedok,Singapore,['hobby4hobby5hobby6'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby4hobby5hobby6']
u-00261,professional 1,sports 1,arts 1,travel 0,culinary 3,Persona 261,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,41,married,bachelor,analyst,retail,Tampines,Singapore,['hobby5hobby6hobby7'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby5hobby6hobby7']
u-00262,professional 2,sports 2,arts 2,travel 1,culinary 4,Persona 262,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,42,single,bachelor,manager,media,Woodlands,Singapore,['hobby6hobby7hobby0'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby6hobby7hobby0']
u-00263,professional 3,sports 3,arts 3,travel 2,culinary 5,Persona 263,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,43,married,bachelor,researcher,education,Jurong West,Singapore,['hobby7hobby0hobby1'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby7hobby0hobby1']
u-00264,professional 4,sports 0,arts 4,travel 0,culinary 0,Persona 264,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,44,single,bachelor,engineer,finance,Hougang,Singapore,['hobby0hobby1hobby2'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby0hobby1hobby2']
u-00265,professional 5,sports 1,arts 0,travel 1,culinary 1,Persona 265,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,45,married,bachelor,teacher,tech,Bedok,Singapore,['hobby1hobby2hobby3'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby1hobby2hobby3']
u-00266,professional 6,sports 2,arts 1,travel 2,culinary 2,Persona 266,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,46,single,bachelor,designer,retail,Tampines,Singapore,['hobby2hobby3hobby4'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby2hobby3hobby4']
u-00267,professional 7,sports 3,arts 2,travel 0,culinary 3,Persona 267,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,47,married,bachelor,analyst,media,Woodlands,Singapore,['hobby3hobby4hobby5'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby3hobby4hobby5']
u-00268,professional 8,sports 0,arts 3,travel 1,culinary 4,Persona 268,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,48,single,bachelor,manager,education,Jurong West,Singapore,['hobby4hobby5hobby6'],['skill8skill9skill0'],['skill8skill9skill0'],['hobby4hobby5hobby6']
u-00269,professional 9,sports 1,arts 4,travel 2,culinary 5,Persona 269,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,49,married,bachelor,researcher,finance,Hougang,Singapore,['hobby5hobby6hobby7'],['skill9skill0skill1'],['skill9skill0skill1'],['hobby5hobby6hobby7']
u-00270,professional 0,sports 2,arts 0,travel 0,culinary 0,Persona 270,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,50,single,bachelor,engineer,tech,Bedok,Singapore,['hobby6hobby7hobby0'],['skill0skill1skill2'],['skill0skill1skill2'],['hobby6hobby7hobby0']
u-00271,professional 1,sports 3,arts 1,travel 1,culinary 1,Persona 271,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,51,married,bachelor,teacher,retail,Tampines,Singapore,['hobby7hobby0hobby1'],['skill1skill2skill3'],['skill1skill2skill3'],['hobby7hobby0hobby1']
u-00272,professional 2,sports 0,arts 2,travel 2,culinary 2,Persona 272,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,52,single,bachelor,designer,media,Woodlands,Singapore,['hobby0hobby1hobby2'],['skill2skill3skill4'],['skill2skill3skill4'],['hobby0hobby1hobby2']
u-00273,professional 3,sports 1,arts 3,travel 0,culinary 3,Persona 273,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,53,married,bachelor,analyst,education,Jurong West,Singapore,['hobby1hobby2hobby3'],['skill3skill4skill5'],['skill3skill4skill5'],['hobby1hobby2hobby3']
u-00274,professional 4,sports 2,arts 4,travel 1,culinary 4,Persona 274,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,54,single,bachelor,manager,finance,Hougang,Singapore,['hobby2hobby3hobby4'],['skill4skill5skill6'],['skill4skill5skill6'],['hobby2hobby3hobby4']
u-00275,professional 5,sports 3,arts 0,travel 2,culinary 5,Persona 275,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,55,married,bachelor,researcher,tech,Bedok,Singapore,['hobby3hobby4hobby5'],['skill5skill6skill7'],['skill5skill6skill7'],['hobby3hobby4hobby5']
u-00276,professional 6,sports 0,arts 1,travel 0,culinary 0,Persona 276,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,M,56,single,bachelor,engineer,retail,Tampines,Singapore,['hobby4hobby5hobby6'],['skill6skill7skill8'],['skill6skill7skill8'],['hobby4hobby5hobby6']
u-00277,professional 7,sports 1,arts 2,travel 1,culinary 1,Persona 277,Singaporean,analysis|design|tech,gaming|music|travel,grow professionally,F,57,married,bachelor,teacher,media,Woodlands,Singapore,['hobby5hobby6hobby7'],['skill7skill8skill9'],['skill7skill8skill9'],['hobby5hobby6hobby7']
